"58e806bd7313496f80ac1d02e3a4e2a2","230520100085","2023/5/15 00:00:00","2245","南库区老8号仓","20230314-2245-1114-15132","1","9,10","21221","3,4,2,4,6|5,3,4,5,2","531","无","97","崔熙林","2023/5/20 16:55:43","1","系统超级管理员","2024/5/31 14:07:08","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","b916b73b8ad946fcaec4d3526010b4d9","0","d","2024/5/31 14:07:08"
"f7b4869ee6ef4737af1e6563fefc440f","230520100086","2023/5/15 00:00:00","2243","南库区老4号仓","20230314-2243-1114-15130","1","3,4,5,6","21221","3,4,2,4,6|5,3,4,5,6","531","无","1233","刘斌","2023/5/20 16:57:03","1","系统超级管理员","2024/5/31 14:07:08","122","陕西省储备粮扶风直属库有限公司","100101006","陕西省储备粮扶风直属库有限公司","146a328c2f1942d2999f974cc8a26281","0","d","2024/5/31 14:07:08"
"a61f1ce62d834f81b72fcc274c44978a","230520100087","2023/5/15 00:00:00","2246","南库区老10号仓","20230314-2246-1114-15133","1","2,3,4","21221","3,4,2,4,6|5,3,4,5,2","531","无","1233","刘斌","2023/5/20 16:57:34","1","系统超级管理员","2024/5/31 14:07:08","122","陕西省储备粮扶风直属库有限公司","100101006","陕西省储备粮扶风直属库有限公司","146a328c2f1942d2999f974cc8a26281","0","d","2024/5/31 14:07:08"
"f1f14cd25f3a4082a3bd78e07df3235a","230522100091","2023/4/3 00:00:00","2249","北库区15号仓","20230314-2249-1114-15136","1","5,6,7","21211","3,4,2,4,8|5,3,4,5,2","532","无","114","王博","2023/5/22 08:47:18","114","王博","2023/11/14 13:53:37","163","陕西省储备粮扶风直属库有限公司北库区","100101006001","陕西省储备粮扶风直属库有限公司北库区","03f1ac6b4ed64b47a46e036edc2daed9","3","n",""
"d9a64465235e4f2489b961ba349c56c0","230522100092","2023/4/3 00:00:00","2250","北库区16号仓","20230314-2250-1114-15137","1","7,8,9","21211","2,4,4,7,8|5,3,4,5,2","532","无","114","王博","2023/5/22 08:53:15","114","王博","2023/11/14 13:53:37","163","陕西省储备粮扶风直属库有限公司北库区","100101006001","陕西省储备粮扶风直属库有限公司北库区","03f1ac6b4ed64b47a46e036edc2daed9","3","n",""
"be38581a95534f499c37132e1e4376b8","230522100093","2023/4/14 00:00:00","2253","北库区19号仓","20230314-2253-1114-15138","1","7,8","21211","3,4,2,4,6|5,3,4,5,2","532","无","114","王博","2023/5/22 09:00:54","114","王博","2023/11/14 13:53:37","163","陕西省储备粮扶风直属库有限公司北库区","100101006001","陕西省储备粮扶风直属库有限公司北库区","03f1ac6b4ed64b47a46e036edc2daed9","3","n",""
"e0238a56649a49108cea5a2e0198c99e","230522100094","2023/5/22 00:00:00","2226","南库区新1号仓","20230313-2226-1114-15106","1","4,6","21221","3,4,2,4,6|5,3,4,5,2","531","无","91","张宝侠","2023/5/22 09:27:20","1","系统超级管理员","2024/5/31 14:07:08","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","bf8c845fadfb431ba0c18ddb354b7831","0","d","2024/5/31 14:07:08"
"b171e3c2aea84eb8adc684125b2118ac","230522100095","2023/5/22 00:00:00","2247","南库区老11号仓","20230314-2247-1114-15134","1","3,5,7","21221","3,4,2,4,6|5,3,4,5,2","531","无","91","张宝侠","2023/5/22 09:29:12","1","系统超级管理员","2024/5/31 14:07:09","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","bf8c845fadfb431ba0c18ddb354b7831","0","d","2024/5/31 14:07:09"
"4d43062cc8e04f939ce472dd5ea17597","230522100096","2023/5/22 00:00:00","2248","南库区老12号仓","20230314-2248-1114-15135","1","2,5,7","21221","3,4,2,4,6|5,3,4,5,3","531","无","91","张宝侠","2023/5/22 09:29:53","1","系统超级管理员","2024/5/31 14:07:09","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","bf8c845fadfb431ba0c18ddb354b7831","0","d","2024/5/31 14:07:09"
"5a7c655029d944868dec8aca76891666","230522100097","2023/5/22 00:00:00","2227","南库区新2号仓","20230314-2227-1114-15109","1","2,3,4","21221","3,4,2,4,6|5,3,4,5,2","531","无","96","韩嘉鑫","2023/5/22 09:36:01","1","系统超级管理员","2024/5/31 14:07:09","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","a0ee77e91c104d0ca8d3ce878b9b9b9c","0","d","2024/5/31 14:07:09"
